Meter_ID,Dwelling_Type,Num_Occupants,House_Area_sqft,Connected_Load_kW,Meter_Age_Years,Date,Temperature_C,Humidity_pct,Grid_Outage_Hours,Appliance_Score,Anomaly_Type,Meter_Bypass_Signal,Has_Solar_Panel,Voltage_V,Power_Factor,Expected_Energy_kWh,Actual_Energy_kWh,Peak_Hour_Usage_kWh,Off_Peak_Usage_kWh
IN-KL-ELC-97193311,Independent House,6,1660,4.92,18,07-07-2022,23.82,81.68,4.23,24.0,1,1,0,232.35,0.8,10.29 kWh,67.76 kWh,41.72 kWh,20.62 kWh
IN-KL-ELC-08805586,Commercial,5,1451,4.41,10,18-07-2022,26.03,92.91,0.0,15.0,0,0,0,231.67,0.91,44.16 kWh,99.47 kWh,57.10 kWh,23.56 kWh
IN-KL-ELC-24859871,Villa,5,4661,13.0,17,11-12-2022,27.76,68.3,0.0,11.0,0,0,1,231.03,0.74,-28.53 kWh,,1.39 kWh,0.61 kWh
IN-KL-ELC-03686752,Villa,5,2372,8.78,6,04-11-2023,29.86,67.24,0.0,4.0,1,0,0,207.39,0.83,34.00 kWh,144.51 kWh,82.63 kWh,38.33 kWh
IN-KL-ELC-28350150,Independent House,8,4624,15.0,10,15-06-2022,27.06,83.04,0.85,17.0,1,0,1,219.59,0.73,34.89 kWh,196.13 kWh,116.14 kWh,51.39 kWh
IN-KL-ELC-67179073,Apartment,6,669,2.91,9,28-07-2022,27.58,80.98,4.37,10.0,2,0,0,216.4,0.66,20.87 kWh,57.21 kWh,28.21 kWh,19.25 kWh
IN-KL-ELC-12842659,Independent House,7,1341,3.67,17,17-04-2022,34.69,70.51,0.0,25.0,0,0,0,224.12,0.82,46.26 kWh,76.87 kWh,49.84 kWh,21.46 kWh
IN-KL-ELC-20264752,Apartment,5,1886,6.44,13,10-07-2022,28.99,86.33,7.93,22.0,2,0,0,223.05,0.87,10.76 kWh,20.00 kWh,11.55 kWh,5.43 kWh
IN-KL-ELC-90784126,Villa,4,3532,10.67,10,11-02-2023,23.68,60.79,0.0,18.0,0,0,0,223.91,0.84,17.18 kWh,33.99 kWh,17.20 kWh,10.94 kWh
IN-KL-ELC-41192270,Commercial,5,812,1.5,7,07-05-2023,30.35,59.38,0.0,2.0,2,0,0,222.39,0.7,49.63 kWh,100.00 kWh,55.91 kWh,27.12 kWh
IN-KL-ELC-31670310,Apartment,5,2687,8.12,7,17-09-2022,27.74,90.52,6.23,1.0,0,0,0,233.21,0.87,57.55 kWh,105.10 kWh,55.33 kWh,39.99 kWh
IN-KL-ELC-99025682,Independent House,4,4239,14.5,3,31-07-2022,26.77,80.5,5.16,1.0,1,1,0,216.05,0.76,35.35 kWh,130.34 kWh,68.47 kWh,46.56 kWh
IN-KL-ELC-23773671,Commercial,4,1785,3.74,15,09-02-2023,24.34,63.63,0.0,2.0,3,0,1,219.69,0.92,-21.67 kWh,49.93 kWh,26.22 kWh,14.14 kWh
IN-KL-ELC-46597588,Independent House,2,2750,9.74,12,10-09-2022,26.12,83.23,3.12,10.0,0,0,0,230.75,0.91,20.33 kWh,36.27 kWh,22.79 kWh,9.25 kWh
IN-KL-ELC-21287751,Independent House,2,3631,9.59,13,30-08-2022,28.47,79.79,7.27,24.0,2,0,0,236.88,0.81,24.69 kWh,46.40 kWh,30.42 kWh,13.18 kWh
IN-KL-ELC-87572616,Villa,8,4713,15.0,16,31-12-2023,25.91,48.76,0.0,23.0,3,0,1,233.18,0.8,-8.61 kWh,47.71 kWh,25.74 kWh,12.70 kWh
IN-KL-ELC-87338581,Villa,7,1153,4.12,18,08-09-2022,25.8,92.26,0.0,18.0,0,0,0,227.44,0.94,59.36 kWh,72.64 kWh,41.07 kWh,21.72 kWh
IN-KL-ELC-47766655,Commercial,7,2777,6.87,10,17-07-2022,27.04,81.95,7.13,8.0,0,0,1,225.22,0.96,26.62 kWh,37.36 kWh,20.91 kWh,12.00 kWh
IN-KL-ELC-19777132,Independent House,5,1812,6.98,15,13-02-2023,28.61,58.71,0.0,8.0,1,0,0,229.25,0.79,13.98 kWh,64.07 kWh,34.43 kWh,18.66 kWh
IN-KL-ELC-42866200,Independent House,7,2829,8.5,19,06-04-2023,34.79,70.71,1.01,19.0,0,0,0,235.52,0.79,59.90 kWh,,80.07 kWh,45.70 kWh
IN-KL-ELC-03369720,Villa,2,3575,9.81,10,07-12-2023,25.95,65.53,0.0,15.0,0,0,1,220.91,0.8,41.73 kWh,93.75 kWh,51.30 kWh,24.26 kWh
IN-KL-ELC-70635601,Villa,7,3086,11.17,5,24-07-2023,26.89,86.34,5.12,14.0,0,0,0,236.14,0.93,40.06 kWh,75.14 kWh,39.44 kWh,21.61 kWh
IN-KL-ELC-61368271,Independent House,5,4163,13.5,11,07-08-2022,31.08,75.18,0.0,4.0,3,0,1,234.02,0.78,-18.76 kWh,9.54 kWh,5.78 kWh,2.76 kWh
IN-KL-ELC-89482491,Independent House,6,793,3.45,13,19-01-2022,26.83,45.0,5.15,21.0,0,0,0,232.4,0.93,9.95 kWh,19.57 kWh,10.71 kWh,7.59 kWh
IN-KL-ELC-56882318,Independent House,4,1736,5.64,10,23-12-2023,24.37,53.57,0.0,19.0,0,0,0,228.26,0.89,43.05 kWh,87.18 kWh,49.19 kWh,30.36 kWh
IN-KL-ELC-24962294,Commercial,5,2139,3.87,12,25-11-2022,22.9,50.21,0.99,4.0,2,0,1,207.25,0.86,36.05 kWh,96.28 kWh,56.66 kWh,27.37 kWh
IN-KL-ELC-47813776,Apartment,7,4193,12.62,1,31-08-2023,30.17,88.26,0.0,2.0,1,1,0,233.99,0.72,9.08 kWh,93.02 kWh,51.35 kWh,30.73 kWh
IN-KL-ELC-17434167,Villa,6,2767,9.11,18,06-11-2023,24.54,65.81,0.0,22.0,0,0,0,225.38,0.89,51.05 kWh,,46.32 kWh,22.71 kWh
IN-KL-ELC-29208858,Independent House,5,1698,4.74,10,26-07-2023,24.39,82.96,2.85,10.0,1,1,0,229.22,0.71,,44.28 kWh,24.80 kWh,13.93 kWh
IN-KL-ELC-77906501,Villa,7,2372,6.52,1,11-04-2023,28.47,75.1,0.0,24.0,0,0,0,238.83,0.93,27.61 kWh,42.59 kWh,23.39 kWh,14.79 kWh
IN-KL-ELC-33915337,Independent House,4,2528,7.63,6,27-03-2023,35.36,55.06,0.0,6.0,2,0,0,232.59,0.76,11.94 kWh,32.18 kWh,17.80 kWh,12.59 kWh
IN-KL-ELC-75914903,Independent House,1,2069,6.68,17,20-11-2023,24.15,56.5,7.22,6.0,2,0,1,211.46,0.86,54.89 kWh,84.09 kWh,45.09 kWh,28.73 kWh
IN-KL-ELC-25722525,Independent House,4,2360,7.16,19,28-05-2023,36.65,61.31,3.12,19.0,0,0,0,232.63,0.75,33.50 kWh,87.73 kWh,46.89 kWh,25.95 kWh
IN-KL-ELC-41409972,Villa,1,1082,4.6,13,02-10-2023,28.35,48.37,7.9,2.0,2,0,0,236.44,0.75,36.54 kWh,100.00 kWh,57.85 kWh,32.98 kWh
IN-KL-ELC-10599663,Independent House,4,4712,13.51,3,06-08-2023,26.86,78.06,3.14,7.0,1,1,0,218.24,0.77,12.21 kWh,105.54 kWh,59.49 kWh,32.76 kWh
IN-KL-ELC-31557189,Apartment,4,3712,11.47,12,21-07-2023,27.17,89.46,5.17,1.0,1,0,0,225.29,0.78,5.30 kWh,175.63 kWh,93.58 kWh,56.13 kWh
IN-KL-ELC-64031102,Commercial,5,450,3.04,13,24-05-2023,29.6,64.0,0.0,17.0,2,0,0,242.89,0.79,15.82 kWh,43.43 kWh,22.82 kWh,16.37 kWh
IN-KL-ELC-83501589,Villa,7,539,1.53,16,09-10-2023,24.8,56.31,0.0,24.0,2,0,0,220.65,0.72,47.67 kWh,100.00 kWh,60.72 kWh,32.63 kWh
IN-KL-ELC-46801033,Villa,3,2683,8.63,7,21-02-2022,24.76,63.67,0.0,13.0,0,0,1,232.66,0.92,-56.79 kWh,1.42 kWh,0.72 kWh,0.48 kWh
IN-KL-ELC-61136438,Independent House,2,2784,8.58,8,04-03-2023,32.72,59.8,5.84,21.0,0,0,1,235.96,0.83,17.66 kWh,30.84 kWh,18.38 kWh,9.72 kWh
IN-KL-ELC-97663674,Apartment,1,2569,7.69,8,04-09-2023,26.3,78.5,0.0,15.0,0,0,1,232.83,0.84,23.30 kWh,51.79 kWh,28.31 kWh,15.45 kWh
IN-KL-ELC-13355829,Commercial,8,3359,9.29,13,16-04-2022,31.24,69.61,0.95,14.0,2,0,1,244.89,0.68,47.18 kWh,72.99 kWh,41.13 kWh,25.21 kWh
IN-KL-ELC-47688405,Independent House,1,4128,11.19,8,22-10-2022,28.22,65.26,0.0,4.0,4,0,0,225.73,0.68,24.89 kWh,143.62 kWh,77.51 kWh,40.98 kWh
IN-KL-ELC-24086860,Villa,4,3320,11.93,10,31-05-2023,28.86,59.14,0.0,13.0,4,0,0,247.38,0.76,35.52 kWh,160.37 kWh,97.43 kWh,53.15 kWh
IN-KL-ELC-89180991,Independent House,4,4868,12.52,8,11-07-2023,28.4,77.81,0.0,24.0,4,0,1,228.32,0.77,57.34 kWh,200.00 kWh,125.44 kWh,49.82 kWh
IN-KL-ELC-55403796,Apartment,1,4405,13.78,17,19-01-2022,22.03,64.14,0.0,11.0,0,0,0,232.16,0.8,16.37 kWh,32.69 kWh,18.75 kWh,11.67 kWh
IN-KL-ELC-75094484,Villa,1,1641,6.13,1,03-09-2022,28.01,92.64,7.41,3.0,0,0,1,225.87,0.89,-37.74 kWh,2.26 kWh,1.26 kWh,0.72 kWh
IN-KL-ELC-62744322,Commercial,6,4243,11.47,14,17-07-2022,30.15,82.69,0.0,3.0,0,0,0,224.23,0.99,38.36 kWh,74.36 kWh,40.00 kWh,25.61 kWh
IN-KL-ELC-34021442,Commercial,6,4414,12.32,14,03-01-2023,22.23,49.49,0.0,25.0,0,0,1,231.48,0.89,52.38 kWh,91.95 kWh,55.43 kWh,29.75 kWh
IN-KL-ELC-02392531,Independent House,1,1486,10.41,18,05-05-2022,37.43,71.36,7.03,11.0,4,0,0,223.59,0.77,53.72 kWh,200.00 kWh,114.87 kWh,71.71 kWh
IN-KL-ELC-92360698,Commercial,5,1915,3.84,15,16-09-2022,32.01,81.35,0.0,1.0,2,0,0,230.11,0.8,31.17 kWh,49.08 kWh,24.43 kWh,16.51 kWh
IN-KL-ELC-44118323,Villa,6,1689,4.61,11,24-02-2023,25.64,68.33,0.0,11.0,2,0,0,206.46,0.73,15.03 kWh,41.02 kWh,25.32 kWh,11.62 kWh
IN-KL-ELC-06035375,Independent House,1,3073,9.29,14,26-02-2022,27.52,59.68,0.0,6.0,1,1,0,228.78,0.79,22.49 kWh,135.95 kWh,73.91 kWh,52.54 kWh
IN-KL-ELC-26395550,Apartment,8,3549,9.86,13,21-11-2023,29.0,54.29,0.0,6.0,3,0,1,237.93,0.8,-26.42 kWh,31.46 kWh,18.81 kWh,10.21 kWh
IN-KL-ELC-11098252,Villa,1,1665,3.9,10,03-12-2023,24.85,45.39,6.13,25.0,0,0,0,221.8,0.86,58.39 kWh,89.11 kWh,48.27 kWh,23.05 kWh
IN-KL-ELC-83139152,Commercial,4,2689,8.04,12,11-08-2023,27.13,94.99,3.7,17.0,0,0,1,235.99,0.99,,7.98 kWh,5.04 kWh,2.25 kWh
IN-KL-ELC-28737066,Independent House,5,2489,7.47,11,02-08-2022,29.63,82.6,6.01,22.0,3,0,1,237.65,0.92,,38.88 kWh,24.66 kWh,11.43 kWh
IN-KL-ELC-23250723,Independent House,4,1387,3.42,14,19-05-2022,30.05,64.0,0.0,21.0,0,0,0,235.3,0.91,16.50 kWh,26.23 kWh,16.52 kWh,7.92 kWh
IN-KL-ELC-14445544,Villa,7,3960,14.03,14,23-04-2023,33.81,62.34,0.0,18.0,1,1,0,226.7,0.84,12.22 kWh,172.93 kWh,98.87 kWh,41.47 kWh
IN-KL-ELC-11991878,Independent House,5,4148,12.52,10,11-01-2023,28.81,66.73,0.0,17.0,1,0,0,211.09,0.8,36.81 kWh,182.32 kWh,101.47 kWh,67.73 kWh
IN-KL-ELC-53773276,Commercial,1,2193,7.61,18,25-06-2022,29.57,88.43,0.0,16.0,0,0,0,237.79,0.73,43.44 kWh,96.61 kWh,49.81 kWh,31.11 kWh
IN-KL-ELC-85463753,Commercial,7,2203,5.01,9,27-12-2022,28.93,60.07,0.0,16.0,2,0,1,246.24,0.8,29.50 kWh,87.06 kWh,49.42 kWh,33.08 kWh
IN-KL-ELC-58994188,Villa,4,784,9.89,8,30-01-2022,29.09,46.85,0.0,13.0,4,0,0,233.9,0.67,48.50 kWh,200.00 kWh,114.61 kWh,65.72 kWh
IN-KL-ELC-46688347,Independent House,7,1420,12.07,6,23-06-2023,25.57,76.43,4.21,21.0,4,0,1,230.29,0.68,36.80 kWh,183.61 kWh,103.83 kWh,58.82 kWh
IN-KL-ELC-21654473,Commercial,6,4506,12.83,18,26-10-2022,26.37,56.08,0.0,1.0,2,0,1,222.43,0.81,51.73 kWh,100.00 kWh,56.26 kWh,31.40 kWh
IN-KL-ELC-78003229,Independent House,7,4079,10.38,18,26-11-2022,25.07,46.36,0.58,9.0,2,0,1,220.21,0.78,40.87 kWh,100.00 kWh,54.25 kWh,34.86 kWh
IN-KL-ELC-64648549,Independent House,5,1168,3.36,1,17-07-2022,30.95,91.86,6.65,25.0,3,0,1,236.11,0.86,-25.88 kWh,37.48 kWh,18.81 kWh,12.31 kWh
IN-KL-ELC-62134783,Independent House,6,2447,6.96,7,01-10-2023,24.68,56.7,0.0,8.0,0,0,0,233.05,0.94,21.43 kWh,23.83 kWh,13.88 kWh,8.75 kWh
IN-KL-ELC-30739386,Independent House,7,4427,13.64,13,17-12-2022,27.9,51.19,6.22,10.0,2,0,1,227.1,0.79,49.68 kWh,96.72 kWh,52.40 kWh,30.73 kWh
IN-KL-ELC-90315830,Villa,2,1345,3.84,14,28-10-2023,27.76,46.94,0.0,7.0,3,0,1,223.38,0.93,-15.33 kWh,56.84 kWh,31.01 kWh,16.32 kWh
IN-KL-ELC-79596520,Commercial,6,3075,10.21,13,29-03-2023,34.28,71.11,0.0,19.0,2,0,1,244.35,0.78,12.23 kWh,23.28 kWh,13.04 kWh,7.79 kWh
IN-KL-ELC-50826312,Apartment,3,3117,8.3,12,26-11-2022,24.9,65.57,0.0,14.0,2,0,0,244.14,0.67,32.61 kWh,49.35 kWh,25.56 kWh,14.12 kWh
IN-KL-ELC-48264909,Villa,6,4858,14.9,16,26-09-2023,25.25,90.43,0.0,9.0,3,0,1,232.94,0.84,12.58 kWh,31.88 kWh,18.93 kWh,7.54 kWh
IN-KL-ELC-86641503,Independent House,8,1479,4.61,14,30-10-2023,27.84,62.17,6.75,2.0,0,0,0,225.02,0.92,23.13 kWh,48.83 kWh,28.25 kWh,16.52 kWh
IN-KL-ELC-41307718,Independent House,4,3691,10.83,10,28-03-2023,33.91,61.72,0.0,2.0,2,0,1,228.68,0.74,43.23 kWh,100.00 kWh,56.39 kWh,23.81 kWh
IN-KL-ELC-83667964,Commercial,2,4211,12.77,8,28-07-2023,27.14,86.0,0.0,23.0,0,0,0,219.46,0.8,48.78 kWh,93.68 kWh,48.29 kWh,26.79 kWh
IN-KL-ELC-59248434,Commercial,8,1559,5.46,15,04-11-2023,27.23,64.91,2.64,23.0,0,0,0,237.43,0.74,14.07 kWh,22.55 kWh,11.73 kWh,6.72 kWh
IN-KL-ELC-66823968,Apartment,3,2433,7.2,12,22-05-2023,34.16,74.17,0.0,12.0,2,0,0,220.82,0.81,12.67 kWh,36.66 kWh,21.92 kWh,10.65 kWh
IN-KL-ELC-74092760,Apartment,1,1805,6.29,13,16-01-2022,25.66,65.45,0.0,25.0,0,0,1,234.29,0.96,-33.99 kWh,2.19 kWh,1.05 kWh,0.73 kWh
IN-KL-ELC-54821801,Villa,8,3702,13.36,14,07-05-2022,37.92,62.52,0.0,12.0,2,0,0,219.91,0.65,48.62 kWh,100.00 kWh,56.11 kWh,28.61 kWh
IN-KL-ELC-29094976,Villa,8,1342,2.21,12,12-11-2022,22.63,69.23,0.0,4.0,1,1,0,239.33,0.84,,19.46 kWh,12.30 kWh,5.46 kWh
IN-KL-ELC-52163083,Villa,4,1666,3.61,8,25-10-2022,26.4,47.65,1.69,12.0,1,0,1,225.45,0.72,39.75 kWh,39.88 kWh,21.01 kWh,13.15 kWh
IN-KL-ELC-08074037,Apartment,2,2686,9.13,11,22-05-2022,31.17,66.1,7.92,2.0,0,0,0,231.1,0.8,6.73 kWh,16.90 kWh,9.54 kWh,4.65 kWh
IN-KL-ELC-06214665,Villa,3,1030,8.79,9,20-08-2022,25.09,82.76,3.55,4.0,4,0,0,234.62,0.72,27.31 kWh,146.56 kWh,80.37 kWh,48.96 kWh
IN-KL-ELC-14017144,Independent House,7,2320,8.42,6,28-02-2023,26.18,67.98,4.45,19.0,2,0,0,228.99,0.72,31.04 kWh,51.32 kWh,27.36 kWh,18.08 kWh
IN-KL-ELC-61183416,Independent House,8,896,4.17,14,27-01-2022,30.12,49.68,0.0,3.0,0,0,0,240.59,0.86,,26.61 kWh,14.90 kWh,7.56 kWh
IN-KL-ELC-14620158,Commercial,4,4821,15.0,15,25-01-2023,26.07,64.37,0.0,18.0,2,0,0,236.14,0.75,11.71 kWh,22.63 kWh,12.47 kWh,8.71 kWh
IN-KL-ELC-99559035,Commercial,5,2864,8.06,14,16-03-2022,36.61,66.19,0.0,14.0,2,0,0,246.76,0.76,52.30 kWh,100.00 kWh,52.68 kWh,31.33 kWh
IN-KL-ELC-20381579,Commercial,5,3412,7.3,19,22-12-2023,29.08,60.82,0.0,11.0,1,1,0,227.51,0.71,44.24 kWh,88.33 kWh,44.28 kWh,31.55 kWh
IN-KL-ELC-71902626,Commercial,5,1649,6.81,4,11-01-2023,29.09,46.04,0.0,8.0,1,1,0,228.22,0.78,30.37 kWh,75.82 kWh,42.33 kWh,24.59 kWh
IN-KL-ELC-08558706,Commercial,6,4488,14.2,10,19-06-2023,27.46,95.0,0.0,11.0,2,0,0,220.18,0.87,17.97 kWh,44.19 kWh,22.26 kWh,15.49 kWh
IN-KL-ELC-69677428,Villa,4,4045,12.25,3,27-09-2023,26.19,91.11,0.0,7.0,3,0,1,229.89,0.86,-14.14 kWh,12.72 kWh,7.73 kWh,4.04 kWh
IN-KL-ELC-98328226,Villa,2,1375,3.11,12,06-08-2022,31.85,77.97,3.79,7.0,0,0,0,237.69,0.95,15.87 kWh,21.10 kWh,11.54 kWh,8.01 kWh
IN-KL-ELC-53006271,Apartment,6,1126,3.37,2,28-01-2023,24.09,46.91,2.71,18.0,1,1,0,228.44,0.79,41.35 kWh,50.65 kWh,25.64 kWh,15.91 kWh
IN-KL-ELC-12756935,Independent House,6,800,2.83,11,27-10-2023,25.45,62.74,0.0,13.0,0,0,0,226.59,0.81,24.58 kWh,48.45 kWh,25.69 kWh,17.31 kWh
IN-KL-ELC-38558742,Apartment,5,3484,12.84,18,21-07-2022,25.95,85.39,0.0,24.0,3,0,1,229.49,0.8,-11.54 kWh,57.22 kWh,28.84 kWh,18.95 kWh
IN-KL-ELC-04323253,Commercial,4,4434,14.22,13,18-01-2022,26.04,57.54,0.0,23.0,2,0,0,223.18,0.7,19.89 kWh,48.43 kWh,26.90 kWh,14.75 kWh
IN-KL-ELC-64785345,Independent House,3,3386,9.78,3,02-12-2023,22.77,64.66,0.0,10.0,0,0,0,228.32,0.83,56.93 kWh,108.71 kWh,55.42 kWh,39.33 kWh
IN-KL-ELC-80813098,Commercial,2,4641,15.0,5,07-11-2022,25.73,50.31,0.0,11.0,3,0,1,228.07,0.84,-28.55 kWh,9.70 kWh,5.40 kWh,3.48 kWh
IN-KL-ELC-05678527,Commercial,4,2724,7.25,2,05-12-2023,25.03,48.86,0.0,3.0,3,0,1,238.42,0.8,-14.45 kWh,33.76 kWh,20.75 kWh,11.07 kWh
IN-KL-ELC-01524102,Commercial,7,3824,10.53,8,13-07-2023,24.36,87.45,7.22,13.0,0,0,0,217.0,0.89,51.87 kWh,66.94 kWh,34.04 kWh,24.24 kWh
IN-KL-ELC-74700215,Independent House,8,2460,6.73,5,24-07-2023,27.08,88.49,0.0,24.0,3,0,1,233.95,0.88,-28.25 kWh,62.76 kWh,33.37 kWh,23.93 kWh
IN-KL-ELC-61402183,Apartment,2,4766,13.52,3,30-10-2022,24.11,46.67,0.0,9.0,1,1,0,225.11,0.72,22.01 kWh,97.84 kWh,61.28 kWh,25.22 kWh
IN-KL-ELC-06312995,Independent House,1,3069,9.6,16,04-04-2023,30.26,62.65,0.0,20.0,2,0,1,239.19,0.89,41.95 kWh,89.68 kWh,56.64 kWh,24.25 kWh
IN-KL-ELC-06072101,Independent House,6,4587,13.69,2,01-01-2023,26.63,57.78,0.0,13.0,3,0,1,216.38,0.78,-8.41 kWh,15.07 kWh,8.84 kWh,5.44 kWh
IN-KL-ELC-52091394,Villa,6,4736,13.25,15,16-12-2023,28.93,47.09,6.64,12.0,1,1,0,234.03,0.86,25.07 kWh,213.70 kWh,120.44 kWh,80.40 kWh
IN-KL-ELC-50576201,Villa,1,2864,8.19,1,02-08-2022,24.15,78.87,0.0,19.0,3,0,1,234.22,0.78,-8.11 kWh,31.68 kWh,18.87 kWh,10.48 kWh
IN-KL-ELC-23623755,Commercial,2,3938,11.54,10,05-08-2023,24.32,76.9,7.42,2.0,0,0,0,232.66,0.94,44.44 kWh,66.31 kWh,34.85 kWh,20.14 kWh
IN-KL-ELC-90607388,Apartment,4,2007,5.16,10,23-04-2023,29.63,77.39,0.0,1.0,0,0,0,221.98,0.96,13.40 kWh,24.98 kWh,14.93 kWh,6.63 kWh
IN-KL-ELC-16002437,Apartment,4,1777,5.51,2,16-01-2022,25.76,48.1,0.0,9.0,0,0,0,226.7,0.86,29.77 kWh,64.40 kWh,33.90 kWh,22.31 kWh
IN-KL-ELC-30781302,Villa,2,2664,7.42,14,18-12-2023,25.03,61.2,0.0,8.0,0,0,0,231.01,0.94,13.34 kWh,28.39 kWh,17.64 kWh,7.84 kWh
IN-KL-ELC-72932756,Commercial,7,2810,8.45,8,16-03-2022,33.5,67.33,0.0,6.0,1,0,0,222.48,0.79,28.85 kWh,127.65 kWh,82.46 kWh,36.60 kWh
IN-KL-ELC-20228467,Villa,6,2278,5.19,10,13-09-2022,28.3,80.15,0.0,3.0,2,0,1,233.32,0.66,44.62 kWh,84.67 kWh,51.96 kWh,22.33 kWh
IN-KL-ELC-84605487,Apartment,1,3675,11.42,2,05-04-2023,34.49,71.06,5.22,8.0,0,0,0,227.06,0.91,30.17 kWh,58.12 kWh,32.90 kWh,17.78 kWh
IN-KL-ELC-34289656,Villa,8,2156,4.6,8,25-06-2023,25.1,85.94,5.7,1.0,3,0,1,238.39,0.87,,42.20 kWh,24.56 kWh,13.93 kWh
IN-KL-ELC-58011338,Apartment,2,458,13.91,13,10-04-2023,29.34,63.07,0.0,5.0,4,0,0,214.31,0.68,49.86 kWh,200.00 kWh,102.98 kWh,62.46 kWh
IN-KL-ELC-54456147,Villa,7,2696,7.75,19,22-12-2023,25.77,48.09,0.0,11.0,0,0,0,226.36,0.84,41.55 kWh,51.90 kWh,34.84 kWh,13.86 kWh
IN-KL-ELC-60227942,Apartment,6,1468,10.08,16,25-09-2022,27.15,90.68,4.22,19.0,4,0,0,226.49,0.71,51.03 kWh,200.00 kWh,133.17 kWh,51.83 kWh
IN-KL-ELC-32672748,Villa,2,4275,11.23,19,12-04-2023,32.68,67.72,0.0,22.0,0,0,0,222.24,0.82,19.62 kWh,,28.69 kWh,16.70 kWh
IN-KL-ELC-55211047,Independent House,3,1235,6.59,8,11-03-2023,37.04,56.22,0.0,2.0,3,0,1,215.19,0.94,-6.72 kWh,62.53 kWh,32.96 kWh,23.58 kWh
IN-KL-ELC-48722273,Independent House,8,2229,7.69,19,06-11-2022,25.76,50.17,0.0,17.0,1,1,0,225.32,0.81,29.17 kWh,71.47 kWh,47.94 kWh,19.22 kWh
IN-KL-ELC-09771450,Independent House,4,1915,5.93,2,10-05-2022,29.92,77.38,0.0,12.0,3,0,1,238.15,0.9,-24.81 kWh,61.93 kWh,33.46 kWh,17.89 kWh
IN-KL-ELC-31073264,Independent House,7,1769,4.06,6,26-11-2023,22.55,70.79,1.84,16.0,0,0,0,230.11,0.85,38.08 kWh,50.50 kWh,26.53 kWh,17.98 kWh
